,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
398,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.rcpch.ac.uk/resources/national-paediatric-diabetes-audit-transparency-open-data#downloadBox']",SAIL Databank,['GB-ENG'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
399,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],Healthcare Quality Improvement Partnership jointly with NHS England,GB,Cystic Fibrosis Trust,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",OTHER,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
400,['https://www.ebi.ac.uk/gwas/publications/30804560'],Northern Ireland Health and Social Care Board,GB-ENG,Not Applicable,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.rcplondon.ac.uk/guidelines-policy/applying-work-falls-and-fragility-fracture-audit-programme-data']",2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication"
401,['Available locally within Trust corporate Data Warehouse System and authorised access by Trust staff only.\nDataset is also available via SUS/HES for government statistical purposes.'],BREATHE,['GB-GBN'],BREATHE,['www.pioneerdatahub.co.uk/data/data-services-costs/'],2-6 MONTHS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
402,Please contact the publisher using Contact Point details provided.,BREATHE,['GB-WLS'],CPRD,Not specified,2-6 MONTHS,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access is currently via an experimental safe haven built in Microsoft Azure."
403,['https://bioresource.nihr.ac.uk/using-our-bioresource'],Centre for Longitudinal Studies (CLS),['GB-GB'],UK Centre for Ecology & Hydrology,['www.pioneerdatahub.co.uk/data/data-services-costs/'],VARIABLE,"The Office for National Statistics Secure Research Service (SRS) gives accredited researchers secure access to de-identified, unpublished data in order to work on research projects for the public good.   Most datasets are available to access through remote access to the SRS. In some instances, the data can only be accessed from an approved safe setting. 
 For more information,visit: https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme"
404,['https://bioresource.nihr.ac.uk/using-our-bioresource'],Public Health Scotland,['GB-WLS'],Not Applicable,https://www.cprd.com/pricing,2-6 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
405,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],University of Oxford,['GB-ENG'],CPRD,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
406,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.rcpch.ac.uk/resources/national-paediatric-diabetes-audit-transparency-open-data#downloadBox']",University Hospitals Birmingham NHS Foundation Trust,GB-ENG,CPRD,['https://www.insight.hdrhub.org/'],2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
407,['https://saildatabank.com/application-process/'],Public Health Wales NHS Trust,GB-GBN,Not Applicable,Calculated on individual basis,1-2 MONTHS,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
408,['https://digital.nhs.uk/services/data-access-request-service-dars'],GENOMICS ENGLAND,['GB-ENG'],CPRD,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",LESS 1 WEEK,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
